field;ru;en;es;pt
components.createLotteryNFTForm.ticketPricePlaceholder;Введите цену билета;Enter ticket price;Ingrese el precio de un billete;
components.createLotteryNFTForm.endDateLabel;Конец;End;Final;
components.createLotteryNFTForm.createLotteryButton;Создать;Create;Crear;
components.createSaleNFTForm.title;Продать;Sell;Vender;
components.createSaleNFTForm.paymentTokenLabel;Токен платежа;Payment token;Token del pago;
components.createSaleNFTForm.fixedPriceLabel;Цена;Price;Precio;
components.createSaleNFTForm.fixedPricePlaceholder;Введите цену;Enter the price;Introduzca el precio;
components.createSaleNFTForm.createMarketPositionButton;Продать;Sell;Vender;
components.footer.privacyLinkLabel;Конфиденциальность;Privacy;Confidencialidad;
components.footer.termsLinkLabel;Условия;Terms;Términos y condiciones;
components.footer.copyright;©{year} Mediacoin | Все права защищены;©{year} Mediacoin | All rights reserved;©{year} Mediacoin | Todos los derechos reservados;
components.navigation.lotteryLinkLabel;Лотерея;Lottery;Lotería;
components.navigation.becomeCreatorLinkLabel;Стать минтером;Become a minter;Convertirse en un minter;
components.navigation.explorerLinkLabel;Поиск;Search;Búsqueda;
components.navigation.connectButton;Подключить;Connect;Conectar;
components.navigation.miniProfile.adminLinkLabel;Админ;Admin;Admin;
components.navigation.miniProfile.profileLinkLabel;Профиль;Profile;Perfil;
components.navigation.miniProfile.disconnectButton;Отключить;Disconnect;Desconectar;
components.navigation.walletForm.title;Кошелек;Wallet;Cartera;
components.navigation.walletForm.description;Выберете подходящий для себя кошелек подключения;Select an appropriate connect wallet;Elija la billetera de conexión más apropiada para Ud;
components.lotteryCard.leftTimeLabel;Осталось;Left:;Quedan;
components.lotteryCard.endedLabel;Закончен;Ended;Finalizado;
components.lotteryCard.soldOutLabel;Продано;Sold out;Vendido;
components.lotteryCard.myTicketsLabel;Я купил;I bought;Yo compré;
components.lotteryCard.ownerLabel;Владелец;Owner;Propietario;
components.lotteryCard.collectionNameLabel;Коллекция;Collection;Colección;
components.lotteryCard.manageButton;Управление;Manage;Administración;
components.lotteryCard.buyTicketsButton;Участвовать;Participate;Participar;
components.marketCard.priceLabel;Цена;Price;Precio;
components.marketCard.collectionNameLabel;Коллекция;Collection;Colección;
components.marketCard.ownerLabel;Владелец;Owner;Propietario;
components.marketCard.manageButton;Управление;Manage;Administración;
components.marketCard.buyButton;Купить;Buy;Comprar;
components.networkSwitcher.title;Сменить сеть;Change network;Cambiar la red;
components.nftCard.collectionNameLabel;Коллекции;Collections;Colecciones;
components.nftCard.ownerLabel;Владелец;Owner;Propietario;
components.nftCard.manageButton;Управление;Manage;Administración;
components.nftCard.openButton;Открыть;Open;Abrir;
components.nftFilters.type.none;Не выставлен;Not exposed;No se exhibe;
components.nftFilters.type.market;Рынок;Market;Mercado;
components.nftFilters.type.auction;Аукцион;Auction;Subasta;
components.nftFilters.type.lottery;Лотерея;Lottery;Lotería;
components.nftFilters.media.audio;Аудио;Audio;Audio;
components.nftFilters.media.image;Картинка;Image;Imagen;
components.nftFilters.media.3d;3D;3D;3D;
components.nftFilters.media.video;Видео;Video;Video;
components.nftFilters.sorting.creatingAsc;Создание| Возрастание;Creation | Ascending;Creación| Ascendente;
components.nftFilters.sorting.creatingDesc;Создание| Убывание;Creation | Descending;Creación| Descendente;
components.nftFilters.nftTypeLabel;Размещение;Placement;Publicación;
components.nftFilters.selectNftTypeLabel;Выбрать тип NFT;Select an NFT type;Seleccionar el tipo de NFT;
components.nftFilters.mediaTypeLabel;Медиа;Media;Multimedia;
components.nftFilters.selectMediaTypeLabel;Выбрать медиа;Select media;Seleccionar multimedia;
components.nftFilters.sortingLabel;Сортировка;Sorting;Clasificación;
components.notifications.completed.transactionCompletedLabel;Транзакция выполнена;Transaction is complete;Transacción completada;
components.notifications.completed.transactionFailedLabel;Транзакция не выполнена;Transaction failed;Transacción fallida;
components.notifications.completed.openScannerLinkLabel;Открыть сканер;Open scanner;Abrir escáner;
components.notifications.mining.operationAmountInPendingLabel;В процессе {txCountPending};Pending {txCountPending};En proceso {txCountPending};
components.profileBanner.copiedLabel;Скопировано;Copied;Copiado;
components.profileBanner.share;Поделиться;Share;Compartir;
components.profileBanner.unknownUser;Низвестный;Unknown;Desconocido;
components.profileBanner.referralSettingsButton;Рефералка;Referral;Referencia;
components.profileBanner.editButton;Ред.;Edit;ed.;
components.profileSidebar.createNftLink;Создать NFT;Create NFT;Crear NFT;
components.profileSidebar.portfolio;Портфолио;Portfolio;Portafolio;
components.profileSidebar.collections;Коллекции;Collection;Colecciones;
components.profileSidebar.stats;Статистика;Statistic;;
components.transferNFTForm.title;Передать токен;Transfer token;Transferir token;
components.transferNFTForm.description;Передача токена другому пользователю, операцию невозможно будет отменить;Token transferring to another user. The operation cannot be canceled.  ;Transferencia del token a otro usuario. La operación no se podrá deshacer.;
components.transferNFTForm.accountLabel;Адрес кошелька;Wallet address;Dirección de la billetera;
components.transferNFTForm.accountPlaceholder;Введите адрес;Enter address;Ingrese la dirección;
components.transferNFTForm.transferButton;Передать;Transfer;Transferir;
components.txErrorPopup.title;Ошибка;Error;Error;
components.txErrorPopup.copyHelpLabel;Скопировано;Copied;Copiado;
components.txErrorPopup.copyButton;Копировать;Copy;Copiar;
components.txErrorPopup.closeButton;Закрыть;Close;Cerrar;
components.txErrorPopup.defaultError;Операция отменена пользователем;Operation canceled by user. ;Operación cancelada por el usuario;
pages.becomeCreatorPage.title;Стать минтером;Become a minter;Convertitse en un minter;
pages.becomeCreatorPage.description;Создайте запрос, на получение роли минтера. Вам будет доступна функция самому создавать и размещать токены на рынке, создавать лотереи и аукционы;Create a request to become a minter. You will be able to create and place tokens on the market, and launch lotteries and auctions.;Cree una solicitud para convertirse en un minter. Tendrá acceso a la función para crear y publicar tokens en el mercado usted mismo, crear loterías y subastas;
pages.becomeCreatorPage.minterMessage;Вы уже минтер;You are already a minter. ;Usted ya es un minter;
pages.becomeCreatorPage.requestedMessage;Ваш запрос рассматривается;Your request is pending. ;Su solicitud está en estudio;
pages.becomeCreatorPage.rejectedMessage;Вам было отказано в роли;Your request was rejected. ;Su solicitud ha sido denegada;
pages.becomeCreatorPage.becomeCreatorButton;Стать минтером;Become a minter;Convertirse en un minter;
pages.collectionExplorerPage.collectionInfo.unknownCreatorLabel;Неизвестный;Unknown;Desconocido;
pages.collectionExplorerPage.collectionInfo.ownerAmountLabel;Владельцев;Owners;Propietarios;
pages.collectionExplorerPage.collectionInfo.itemsInCollectionLabel;В колекции;In collection;Dentro de la colección;
pages.collectionExplorerPage.collectionInfo.editButton;Ред.;Edit;ed.;
pages.collectionExplorerPage.collectionInfo.noDealsLabel;Ещё нет сделок,;No deals yet;;
pages.collectionExplorerPage.collectionInfo.tradingVolumeLabel;Торговый объем;Trading volume;;
pages.collectionExplorerPage.editCollectionForm.unknownCreatorLabel;Неизвестный;Unknown;Desconocido;
pages.collectionExplorerPage.editCollectionForm.uploadRestrictionLabel;Рзмер файла до {restriction};File size: up to {restriction};Tamaño del archivo hasta {restricción};
pages.collectionExplorerPage.editCollectionForm.titleLabel;Название;Name;Nombre;
pages.collectionExplorerPage.editCollectionForm.titlePlaceholder;Введите название;Enter name;Introduce el nombre;
pages.collectionExplorerPage.editCollectionForm.descriptionLabel;Описание;Description ;Descripción;
pages.collectionExplorerPage.editCollectionForm.descriptionPlaceholder;Введите описание;Enter description;Introduce una descripción;
pages.collectionExplorerPage.editCollectionForm.ownerAmountLabel;Владельцев;Owners;Propietarios;
pages.collectionExplorerPage.editCollectionForm.itemsInCollectionLabel;В коллекции;In collection;Dentro de la colección;
pages.collectionExplorerPage.editCollectionForm.saveButton;Сохранить;Save;Guardar;
pages.collectionExplorerPage.editCollectionForm.closeButton;Закрыть;Close;Cerrar;
pages.collectionsExplorerPage.collectionNamePlaceholder;Введите название;Enter name;Introduce el nombre;
pages.explorePage.tokensTab;Токены;Tokens;Tokens;
pages.explorePage.lotteriesTab;Лотереи;Lotteries;Loterías;
pages.explorePage.collectionsTab;Коллекции;Collections;Colecciones;
pages.mainPage.auctionTape.title;Аукционы;Auctions;Subastas;
pages.mainPage.auctionTape.description;Мы собрали самые лучшие работы от самых лучших создателей;We collected the best works from the best creators.;Hemos recopilado las mejores obras de los mejores creadores;
pages.mainPage.auctionTape.moreLink;Посмотреть все;See all;Ver todo;
pages.mainPage.collectionTape.title;Последние коллекции;Latest collection;Últimas colecciones;
pages.mainPage.collectionTape.description;Найди то что тебе по душе и пополняй свое портфолио;Find what you like and enrich your portfolio;Encuentra lo que te gusta y añádelo a tu portafolio;
pages.mainPage.collectionTape.moreLink;Создать свою коллекцию;Create your collection;Crear su propia colección;
pages.mainPage.recentList.title;Новые, качественные токены;New quality tokens;Tokens nuevos y de alta calidad;
pages.mainPage.recentList.description;Мы заботимся о качестве контента, все лучшее для тебя;We care for content quality – all the best for you.;Nos preocupamos por la calidad del contenido, todo lo mejor para ti;
pages.mainPage.recentList.moreLink;Найти новинки;Find new items;Encontrar novedades;
pages.mainPage.topSection.title;Создавай, Находи & Собирай NFT;Create, Explore & Collect Digital Art NFTs;Crea, encuentra y colecciona los NFTs;
pages.mainPage.topSection.description;Покупай и продавай NFT от лучших мировых художников. Более 1000 премиальных цифровых произведений искусства доступны для тебя!;Buy and sell NFT from the best artists. More than 1000 premium digital masterpieces are available for you!;Compra y vende los NFTs de los mejores artistas del mundo. ¡Más de 1000 obras de arte digitales premium disponibles para ti!;
pages.mainPage.topSection.profileLinkLabel;Начать собирать;Start collecting;Empezar a coleccionar;
pages.mainPage.topSection.artsLabel;Arts;Arts;Arts;
pages.mainPage.topSection.tradingVolumeLable;Объем;Volume;Volumen;
pages.mainPage.topSection.participatorsLabel;Участников;Participants;Participantes;
pages.mainPage.topSection.openCollectionsButton;Увидеть больше;See more;Ver más;
pages.masterPage.lotteryLinkLabel;Лотереи;Lotteries;Loterías;
pages.masterPage.becomeCreatorLinkLabel;Стать минтером;Become a minter;Convertirse en un minter;
pages.masterPage.explorerLinkLabel;Найти;Search;Buscar;
pages.profileCollectionsPage.emptyList;Пока что список пуст;The list is empty.;Hasta ahora la lista está vacía;
pages.profileEditPage.title;Редактировать профиль;Edit profile;Editar perfil;
pages.profileEditPage.profileEditForm.commonSectionTitle;Общая информация;General information;Información general;
pages.profileEditPage.profileEditForm.firstNameLabel;Имя;Name;Nombre;
pages.profileEditPage.profileEditForm.firstNamePlaceholder;Ввведите имя;Enter name;Ingrese su nombre;
pages.profileEditPage.profileEditForm.lastNameLabel;Фамилия;Surname;Apellido;
pages.profileEditPage.profileEditForm.lastNamePlaceholder;Введите фамилию;Enter surname;Introduzca su apellido;
pages.profileEditPage.profileEditForm.descriptionLabel;Описание;Description ;Descripción;
pages.profileEditPage.profileEditForm.descriptionPlaceholder;Введите описание;Enter description;Introduzca una descripción;
pages.profileEditPage.profileEditForm.socialSectionTitle;Социальные сети;Social media;Redes sociales;
pages.profileEditPage.profileEditForm.emailLabel;Почта;E-mail;Correo electrónico;
pages.profileEditPage.profileEditForm.emailPlaceholder;Введите почту;Enter e-mail;Introduzca su correo electrónico;
pages.profileEditPage.profileEditForm.instagramLabel;Ссылка на instagram;Instagram link;Enlace a Instagram;
pages.profileEditPage.profileEditForm.instagramPlaceholder;Вставте ссылку;Insert link;Introduzca el link;
pages.profileEditPage.profileEditForm.telegramLabel;Ссылка на telegram;Telegram link;Enlace a Telegram;
pages.profileEditPage.profileEditForm.telegramPlaceholder;Вставте ссылку;Insert link;Introduzca el link;
pages.profileEditPage.profileEditForm.twitterLabel;Ссылка на twitter;Twitter link;Enlace a Twitter;
pages.profileEditPage.profileEditForm.twitterPlaceholder;Вставте ссылку;Insert link;Introduzca el link;
pages.profileEditPage.profileEditForm.signAlert;Подпишите сообщение для сохранения;Sign the message to save;Firme el mensaje para guardar;
pages.profileEditPage.profileEditForm.cancelButton;Отмена;Cancel;Cancelar;
pages.profileEditPage.profileEditForm.updateButton;Обновить;Update;Actualizar;
pages.profileEditPage.profileEditUploadPhoto.description;Загружайте фото 1:1 соотношением до 500KB;Upload a photo with a 1:1 ratio and up to 500KB;Suba una foto en proporción 1:1 hasta 500 KB;
pages.profileEditPage.profileEditUploadPhoto.uploadPhotoButton;Загрузить;Upload;Cargar;
pages.profilePage.noProfileLabel;У вас еще нет профиля;You don't have a profile yet.;Usted aún no tiene un perfil;
pages.profilePage.joinToUsButton;Присоеденяйтесь;Join;Únase;
pages.profilePage.referralFrom.title;Реферальная программа;Referral program;Programa de referencia;
pages.profilePage.referralFrom.referralLinkLabel;Реферальная ссылка;Referral link;Enlace de referencia;
pages.profilePage.referralFrom.copyButton;Копировать;Copy;Copiar;
pages.profilePage.referralFrom.copiedLabel;Скопировано;Copied;Copiado;
pages.profilePage.referralFrom.referralUsersLabel;Рефералов;Referrals;Referencias;
pages.profilePage.referralFrom.earningDetailsLabel;Детализация дохода;Revenue details ;Detalles de ingresos;
pages.profilePortfolioPage.emptyList;Твой портфолио пока пустой;Your portfolio is empty.;Tu portafolio por ahora está vacío;
pages.profileStatsPage.volumeStatsTitle;Статистика объема;Volume stats;;
pages.profileStatsPage.nftsSoldLabel;Всего вы продали {amount} nft;You have sold {amount} nfts;;
pages.profileStatsPage.buyVolumeTitle;Объем покупок;Buy volume;;
pages.profileStatsPage.sellVolumeTitle;Объем продаж;Sell volume;; 
pages.profileStatsPage.overallVolumeTitle;Общий объем;Overall volume;;
pages.tokenPage.tokenDetails.creatorLabel;Создатель;Creator;Creador;
pages.tokenPage.tokenDetails.ownerLabel;Владелец;Owner;Propietario;
pages.tokenPage.tokenDetails.notForSaleText;Данный токен пока не учавствует ни в одном из событий;This token doesn't participate in any event. ;Este token aún no participa en ninguno de los eventos;
pages.tokenPage.propertyOfLabel;Свойства токена ;Token characteristics;Propiedades del token;
pages.tokenPage.priceHistoryTitle;История цены;Price history;Historial de precios;
pages.tokenPage.tokenActivityHistoryTitle;Активность токена;Token activity;Actividad del token;
pages.tokenPage.tokenPreview.collectionLabel;Коллекции;Collection;Colecciones;
pages.tokenPage.auctionBidForm.bidLabel;Ставка;Bid;Apuesta;
pages.tokenPage.auctionBidForm.bidPlaceholder;Ввведите ставку;Enter bid;Introduzca la apuesta;
pages.tokenPage.auctionBidForm.bidButton;Поставить;Make a bid;Poner;
pages.tokenPage.auctionForm.currentBid;Текущая ставка;Current bid;Apuesta actual;
pages.tokenPage.auctionForm.minBid;Минимальная ставка;Minimum bid;Apuesta mínima;
pages.tokenPage.auctionForm.eventName;Аукцион;Auction;Subasta;
pages.tokenPage.auctionForm.auctionExpiredText;Аукцон закончен;Auction ended. ;Subasta finalizada;
pages.tokenPage.auctionInstantForm.instantBuyLabel;Купить сейчас;Buy now;Comprar ahora;
pages.tokenPage.auctionInstantForm.buyNowButton;Купить;Buy;Comprar;
pages.tokenPage.buyForm.priceLabel;Цена;Price;Precio;
pages.tokenPage.buyForm.royaltyFeeLabel;Комиссия автора;Author's fee;Comisión del autor;
pages.tokenPage.buyForm.buyButton;Купить;Buy;Comprar;
pages.tokenPage.buyTicketForm.iBoughtLabel;Я купил;I bought;Comprado;
pages.tokenPage.buyTicketForm.ticketPriceLabel;Цена билета;Ticket price;Precio de un billete;
pages.tokenPage.buyTicketForm.ticketsSoldLabel;Билетов продано;Sold tickets;Billetes vendidos;
pages.tokenPage.buyTicketForm.myShare;Доля {share};Share {share};Porcentaje {share};
pages.tokenPage.buyTicketForm.myTicketsValue;Я купил {ticketsLeft};I bought {ticketsLeft};Yo compré {ticketsLeft};
pages.tokenPage.buyTicketForm.soldOutLabel;Все продано;Everything is sold out;Todo está vendido;
pages.tokenPage.buyTicketForm.eventName;Лотерея;Lottery;Lotería;
pages.tokenPage.buyTicketForm.ticketsLabel;Билеты;Tickets;Billetes;
pages.tokenPage.buyTicketForm.ticketsPlaceholder;Введите количество билетов;Enter quantity of tickets;Ingrese la cantidad de billetes;
pages.tokenPage.buyTicketForm.userSpendLabel;Вы потратите;You will spend;Gastará;
pages.tokenPage.buyTicketForm.soldOutButton;Все продано;Everything is sold out;Todo está vendido;
pages.tokenPage.buyTicketForm.buyButton;Купить;Buy;Comprar;
pages.tokenPage.buyTicketForm.lotteryEndedText;Лотерея окончена;Lottery ended.;Lotería finalizada;
pages.tokenPage.cancelSaleForm.priceLabel;Цена;Price;Precio;
pages.tokenPage.cancelSaleForm.royaltiesLabel;Комиссия автора;Author's fee;Comisión del autor;
pages.tokenPage.cancelSaleForm.cancelButton;Отменить;Cancel;Cancelar;
pages.tokenPage.eventTimer.startEventLabel;{eventName} начнется;{eventName} starts;{eventName} comenzará;
pages.tokenPage.eventTimer.endEventLabel;{eventName} закончится;{eventName ends;{eventName} terminará;
pages.tokenPage.eventTimer.days;дней;days;días;
pages.tokenPage.eventTimer.hours;часов;hours;horas;
pages.tokenPage.eventTimer.minutes;минут;minutes ;minutos;
pages.tokenPage.eventTimer.seconds;секунда;seconds;segundos;
pages.tokenPage.eventTimer.eventEndWarning;{eventName} завершился;{eventName} ended;{eventName} ha terminado;
pages.tokenPage.manageAuctionForm.currentBid;Текущая ставка;Current bid;Apuesta actual;
pages.tokenPage.manageAuctionForm.minBid;Мин ставка;Minimum bid;Apuesta mínima;
pages.tokenPage.manageAuctionForm.eventName;Аукцион;Auction;Subasta;
pages.tokenPage.manageAuctionForm.auctionExpiredText;Аукцион закончен;Auction ended;Subasta finalizada;
pages.tokenPage.manageAuctionForm.hasBidWarning;Уже есть ставка;Bids are made;Ya existe una apuesta;
pages.tokenPage.manageAuctionForm.finalizeButton;Завершить;Finish;Finalizar;
pages.tokenPage.manageAuctionForm.cancelButton;Отменить;Cancel;Cancelar;
pages.tokenPage.manageLotteryForm.ticketPriceLabel;Цена за билет;Ticket price;Precio de un billete;
pages.tokenPage.manageLotteryForm.ticketsLeftLabel;Осталось;Left;Quedan;
pages.tokenPage.manageLotteryForm.soldOutLabel;Все продано;Everything is sold out;Todo está vendido;
pages.tokenPage.manageLotteryForm.ticketsLeftValueLabel;Осталось {ticketsLeft};Left: {ticketsLeft};Quedan {ticketsLeft};
pages.tokenPage.manageLotteryForm.soldShare;Доля {share};Share: {share};Porcentaje {share};
pages.tokenPage.manageLotteryForm.eventName;Лотерея;Lottery;Lotería;
pages.tokenPage.manageLotteryForm.lotteryNotEndedMessage;Лотерея еще не закончена;Lottery is still on;La lotería aún no ha terminado;
pages.tokenPage.manageLotteryForm.winnerLabel;Победитель;Winner;Ganador;
pages.tokenPage.manageLotteryForm.finalizeButton;Завершить;Finish;Finalizar;
pages.tokenPage.manageLotteryForm.cancelButton;Отменить;Cancel;Cancelar;
pages.tokenPage.managerTokenForm.royaltyFeeLabel;Комиссия автора;Author's fee;Comisión del autor;
pages.tokenPage.managerTokenForm.sellButton;Продать;Sell;Vender;
pages.tokenPage.managerTokenForm.createAuctionButton;Создать аукцион;Create an auction;Crear una subasta;
pages.tokenPage.managerTokenForm.createLotteryButton;Создать лотерею;Create a lottery;Crear una loteria;
pages.tokenPage.managerTokenForm.transferToAccountButton;Передать;Transfer;Transferir;
pages.tokenPage.managerTokenForm.burnTokenButton;Сжечь;Burn;Quemar;
pages.tokenPage.tokenHistory.eventColumnLabel;Событие;Event;Evento;
pages.tokenPage.tokenHistory.mintEventLabel;Создание;Creation;Creación;
pages.tokenPage.tokenHistory.sellEventLabel;Покупка;Purchase;Compra;
pages.tokenPage.tokenHistory.auctionBidEventLabel;Ставка;Bid;Apuesta;
pages.tokenPage.tokenHistory.auctionBuyNowEventLabel;Покупка (аукцион);Purchase (auction);Compra (subasta);
pages.tokenPage.tokenHistory.lotteryEventLabel;Лотерея;Lottery;Lotería;
pages.tokenPage.tokenHistory.priceColumnLabel;Цена;Price;Precio;
pages.tokenPage.tokenHistory.fromColumnLabel;Отправил;From;Enviado;
pages.tokenPage.tokenHistory.toColumnLabel;Получил;To;Recibido;
pages.tokenPage.tokenHistory.txColumnLabel;TX;TX;TX;
pages.tokenPage.tokenHistory.dateColumnLabel;Событие произошло;Event happened;El evento ha pasado;
pages.tokenPage.tokenHistory.scannerLinkLabel;Открыть сканер;Open scanner;Abrir escáner;
